ID,Street name,City,Lat/Lon,Furniture,Buses
682,Bisbe Josep Climent-Cementiri de l'Est,BARCELONA,41.3944301 / 2.2016726,Marquesina (x2),36 41 N6 N8 
683,Natzaret-Lledoner,BARCELONA,41.4259086 / 2.1362670,Pal,112 
684,Pl Sant Agustí,BARCELONA,41.3578819 / 2.1559481,Pal,107 
685,Via Santa Eulàlia-Rda Litoral,BARCELONA,41.3531685 / 2.1545608,Pal,107 
686,Pl de l'Esperança,BARCELONA,41.3542343 / 2.1557361,Pal,107 
687,Pl de la Caritat,BARCELONA,41.3549954 / 2.1559938,Pal,107 
688,Pl Sant Rafael,BARCELONA,41.3551101 / 2.1538823,Pal,107 
689,Pl Sant Francesc,BARCELONA,41.3564701 / 2.1577342,Pal,107 
690,Via Sant Jordi-Via Sant Sever,BARCELONA,41.3553714 / 2.1580327,Pal,107 
691,Via Sant Jaume-Via Santíssima Trinitat,BARCELONA,41.3563105 / 2.1547739,Pal,107 
692,Via Santíssima Trinitat,BARCELONA,41.3562471 / 2.1520677,Pal,107 
693,Via Santíssima Trinitat-Pl Sant Agustí,BARCELONA,41.3569230 / 2.1544081,Pal,107 
694,Via Sant Antoni Abat-Via Santíssima Trinitat,BARCELONA,41.3555992 / 2.1514127,Pal,107 
695,Via Sant Jaume,BARCELONA,41.4621940 / 2.1903081,Pal,107 
696,Via Sant Francesc,BARCELONA,41.3547667 / 2.1535720,Pal,107 
697,Pallars-Marina,BARCELONA,41.3944065 / 2.1887053,Pal,06 40 42 141 B25 N11 
698,Av Icària-Marina,BARCELONA,41.3893907 / 2.1951172,Pal,14 41 71 92 
699,Benet i Mateu-Manuel de Falla,BARCELONA,41.3938949 / 2.1262743,Pal,34 66 N7 
700,Pg Calvell-Parc del Poblenou,BARCELONA,41.3974619 / 2.2065235,Pal,41 
701,Els Vergós-Pl de Rafael Benet,BARCELONA,41.3971165 / 2.1270375,Pal,66 N7 
702,Pl Artós,BARCELONA,41.3955882 / 2.1256526,Pal,66 130 
703,Ronda Sant Antoni-Pl Goya,BARCELONA,41.3830846 / 2.1637946,Marquesina,24 41 55 64 91 141 N6 
704,Parc de la Vall d'Hebron,BARCELONA,41.4313535 / 2.1457618,Marquesina,10 27 60 73 76 B16 B19 N4 
705,Av Meridiana-Josep Estivill,BARCELONA,41.4213640 / 2.1871187,Marquesina,62 B22 N3 
706,Pl del General Moragues,BARCELONA,41.41743 / 2.19096,Pal,71 
707,Sants-Badal,BARCELONA,41.3744680 / 2.1266951,Pal,56 57 157 N14 N2 
708,Sants-Jocs Florals,BARCELONA,41.3753796 / 2.1343772,Pal,56 57 157 N14 N2 
709,Travessera de Les Corts-Gran Via Carles III,BARCELONA,41.3830142 / 2.1292326,Pal,15 43 59 
711,Av de Pedralbes-Pg dels Til·lers,BARCELONA,41.3914471 / 2.1171624,Pal,63 78 
712,Av de l'Exèrcit-Trias i Giró,BARCELONA,41.3856476 / 2.1111882,Marquesina,33 EP1 JM 
713,CAP Vallcarca,BARCELONA,41.4155261 / 2.1422882,Pal,27 123 124 129 
716,Gran Via-Monturiol,BARCELONA,41.4096465 / 2.1949018,Marquesina,56 60 B21 N2 
717,Gran Via-Selva de Mar,BARCELONA,41.4137105 / 2.2009171,Marquesina,40 42 56 60 B21 N2 
718,Av Paral·lel-Vila i Vilà,BARCELONA,41.3748925 / 2.1693778,Pal,36 
719,Pg de Josep Carner-Jardins de Walter Benjamin,BARCELONA,41.3731143 / 2.1753963,Pal,21 
721,Pg de Josep Carner-Pg de Montjuïc,BARCELONA,41.371495 / 2.1743521999999302,Pal,21 
722,Av Paral·lel-Cabanes,BARCELONA,41.3748361 / 2.1706684,Marquesina,20 21 36 57 64 157 N0 N6 
723,Av Paral·lel-Carrera,BARCELONA,41.3745551 / 2.1748324,Marquesina,20 21 36 57 64 157 N0 N6 
724,Av Cardenal Vidal i Barraquer-Berruguete,BARCELONA,41.4322944 / 2.1511778,Pal,10 
725,Mina de la Ciutat-Les Torres,BARCELONA,41.4469418 / 2.1734386,Pal,11 32 127 N6 
727,Lisboa-Porto,BARCELONA,41.4291800 / 2.1576324,Marquesina,45 102 112 185 N4 
731,Pg de Torras i Bages-Els Segadors,BARCELONA,41.4370174 / 2.1913109,Marquesina,35 40 73 B20 N9 
