ID,Name,Line,Lat/Lon,Connections,Accessibility,Zone
410,Trinitat Nova,L4,41.4492032471838 / 2.18241629083912,L3-L11,Adaptada,Zona 1
447,Trinitat Nova,L3,41.4495315866864 / 2.18411257661403,L4-L11,Adaptada,Zona 1
437,Casa de L'Aigua,L11,41.4513374981639 / 2.18495526862417,,Adaptada,Zona 1
436,Torre Baró | Vallbona,L11,41.4592282423821 / 2.17994975426971,R3-R4-R7-R12,Adaptada,Zona 1
342,Trinitat Vella,L1,41.4490032874062 / 2.19388362741804,,Adaptada,Zona 1
343,Baró de Viver,L1,41.4499647103183 / 2.19957936831323,,Adaptada,Zona 1
450,Can Zam,L9,41.4566998784377 / 2.1985863050585,,Adaptada,Zona 1
394,Poblenou,L4,41.4037236975489 / 2.20335092282408,,Projecte,Zona 1
393,Selva de Mar,L4,41.4080885355949 / 2.20920449021996,T4-T5-T6,Adaptada,Zona 1
392,El Maresme | Fórum,L4,41.4118270413406 / 2.21672409917827,T4-T5-T6,Adaptada,Zona 1
391,Besòs Mar,L4,41.415132745723 / 2.21609189178864,,Adaptada,Zona 1
389,La Pau,L4,41.423680905925 / 2.20524346203814,L2,Adaptada,Zona 1
359,La Pau,L2,41.4241469840362 / 2.20558808922946,L4,Adaptada,Zona 1
390,Besòs,L4,41.4199054057797 / 2.21027029188204,T4-T5-T6,Adaptada,Zona 1
360,Verneda,L2,41.4300427497672 / 2.20990191350488,,Adaptada,Zona 1
459,Bon Pastor,L9|L10,41.4361952316926 / 2.20533248704323,,Adaptada,Zona 1
455,Can Peixauet,L9,41.443955768203 / 2.21001496404333,,Adaptada,Zona 1
361,Artigues Sant Adrià,L2,41.4338278181095 / 2.21768382981863,,Adaptada,Zona 1
458,Llefià,L10,41.4414636713731 / 2.21717679322061,,Adaptada,Zona 1
344,Santa Coloma,L1,41.4510968572408 / 2.20799089718003,,Adaptada,Zona 1
451,Singuerlín,L9,41.4592880031669 / 2.20563372670358,,Adaptada,Zona 1
452,Església Major,L9,41.454710956933 / 2.212488623794,,Adaptada,Zona 1
345,Fondo,L1,41.4516133714008 / 2.21847567034432,L9,Adaptada,Zona 1
453,Fondo,L9,41.4519973445181 / 2.21834338122146,L1,Adaptada,Zona 1
362,Sant Roc,L2,41.4358194300033 / 2.2285794819181,T4-T5-T6,Adaptada,Zona 1
363,Gorg,L2,41.4402793240193 / 2.23346831479129,L10-T4-T5-T6,Adaptada,Zona 1
456,Gorg,L10,41.4405503099384 / 2.23378679063874,L2-T4-T5-T6,Adaptada,Zona 1
457,La Salut,L10,41.4428407809102 / 2.22449035582457,,Adaptada,Zona 1
364,Pep Ventura,L2,41.4439616490883 / 2.23799996153456,,Adaptada,Zona 1
466,Badalona Pompeu Fabra,L2,41.4491346834602 / 2.24417083038483,,Adaptada,Zona 1
